species,description,image
comnig,"Camouflaged to blend into daytime roosts. Intricately patterned with gray and brown. Often roosts along tree branches or on the ground. Feeds at night on large insects. Watch for them flying under bright lights at ballgames or supermarkets. Distinctive fluttering flight style, with wings usually held in a V-shape between bursts of flaps and maneuvers to snatch insects. Very similar to Lesser and Antillean Nighthawks; note voice and location of white wing patch close to base of primaries. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171540961/900
comrav,"All black bird with wedge-shaped tail. Larger than a crow with thicker, longer bill. Bill longer than head. Tends to be solitary. Cruises along roads looking for carrion. Inhabits primarily rural areas in open country or forests. Uses variety of habitats including high desert, coast, sagebrush, tundra, and grasslands. To separate from crows, note wedge-shaped tail, more pointed wings, croaking voice, and longer bill. Also, smoother, steadier wingbeats, compared to choppy, faster wingbeats of smaller crows.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63739541/900
comred,"Small finch fond of colder climates. Petite yellow bill, plump body, and long notched tail. Note small red cap, as well as black face and throat. Males can show pink wash on breast. Irruptive species that moves south in numbers only some years. Breeds in open forests and tundra with willows. Visits feeders; favors nyjer seed. Can be found in large flocks. Sometimes with goldfinches and siskins. Listen for their chattering calls ringing through the desolate winter landscape.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171454191/900
comter,"Medium-sized tern found on open ocean, beaches, and large lakes. Adults have pale gray body and black cap. Bill color differs by subspecies: most have red bill with black tip, but some Asian birds have all-black bills. First-years show dark outer primaries, dark shoulder, and black restricted to back of neck. Similar to Forster's, Arctic, and Roseate Terns. Separated from breeding Forster's Tern by entirely gray upperwings; nonbreeding Forster's shows black ear patch. Somewhat longer-billed and shorter-tailed than Arctic Tern, with paler body. Shorter-tailed and overall darker than gleaming white Roseate Tern. Often found in large flocks, especially in late summer. Gives a harsh screeching call ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/170310831/900
comyel,"Small warbler, olive above with intense yellow throat. Adult males have black masks. Forages for insects, typically in shrubby, wet areas, including marshes, forest edges, and fallow fields. Often hides in thick vegetation. Listen for its ringing ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66117571/900
coohaw,"Small to medium-sized hawk with relatively short rounded wings and rounded tail. Adults are gray above with pale orange barring below; immatures are browner and streaky. Very similar to Sharp-shinned Hawk, but larger with bigger head. Also note deeper, slower wingbeats. Breeds in forested areas; more common in suburban areas than Sharp-shinned Hawk. Feeds mainly on birds captured in flight. Often stalks feeders in search of prey.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60324921/900
coshum,"Small hummingbird of desert habitats in Southwest U.S. and western Mexico. Compact and short-tailed with a slightly drooping bill. Male has a brilliant purple crown and throat that extends down to a point on each side; the purple coloration can appear black in poor lighting. Females are plainer with greenish back and dingy grayish underparts. Females similar to Anna's Hummingbird, but smaller, short-tailed, and have a drooping bill. Costa's is paler below with less green flecking on belly; its shorter tail is as long as the wings when perched. Anna's tail tip extends below wingtips. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68930221/900
cowscj1,"Attractive jay of oak woodlands, dry scrublands, and oak-tall pine woodlands. Royal blue above with gray-brown back and light grayish underparts. Flight style is often distinctive, a series of quick wingbeats followed by a stiff glide. Typically in small groups. Listen for their scratchy, nasal calls. Regularly visits backyards and feeders. Western Scrub-Jay was split into two species: California and Woodhouse's Scrub-Jay. Woodhouse's Scrub-Jay, which is duller and less contrasty is found east of the Cascades and Sierra Nevada.



",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70582301/900
daejun,"Sparrow with incredible variation between populations. All have short pink bills and white outer tail feathers. Often in flocks in winter, foraging on the ground for seeds. Visits feeders. Subspecies include: Slate-colored (widespread), Oregon (West), Pink-sided (Rockies), Gray-headed (Rockies), Red-backed (central Arizona and New Mexico), and White-winged (Colorado in winter).

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66115711/900
doccor,"Dark body with orange bare skin at the base of the bill. Breeding adults are all black. Immatures and nonbreeders have paler breast. Dives underwater to catch fish. Swims like a duck in between dives. Finds open perches to spread wings and dry feathers. Can be in large flocks or solo. Most widespread cormorant across U.S. and Canada; also most likely to be seen inland. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66027281/900
dowwoo,"Tiny. Widespread and familiar woodland resident and backyard visitor. Its black-and-white plumage is nearly identical to larger Hairy Woodpecker, but note short bill (shorter than the head) and black markings on white outer tail feathers. Readily visits feeders, especially for suet. Nests in cavities.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60397941/900
dusfly,"Dull grayish flycatcher, very similar to other flycatchers, especially Hammond's and Gray. Generally grayish with green-tinged back and pale yellow wash on belly. Wingtips shorter than Hammond's Flycatcher and typically found in brushier, more open habitats such as forest edge, but not as open and sparse as Gray Flycatcher. Listen for classic “bean-dip” call as well as dry ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/39407511/900
eargre,"Small body with very thin bill. Head is peaked over red eye. Breeding adults have yellow whiskers on cheek for a fan-shaped patch, black back and mostly dark brown body. In winter, they have a gray body with a black cap, dusky wash across white cheek, and smudgy gray neck. Often in middle of large, open bodies of water.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/164000111/900
easblu,"Adult males are striking royal blue above with bright orange throat and breast and bright white belly. Females are paler overall; grayish with orange on breast and sides of neck, and white belly. Favors fields and open woods. Often in small groups. Frequently perches on wires or fence posts. Nests in cavities. Listen for its soft, chortling calls.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63740061/900
easkin,"Dark brown to black above and clean white below. White tail tip. Flycatcher about the size of a robin. Perches out in the open; often seen on tops of tall trees, snags on forest edges, fences, and utility lines. Watches for large insects and makes quick flights to snatch them. Unique, metallic twittering song often heard in summer. Winters in South America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65684501/900
easmea,Streaked brown above with distinctive black ,https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67377581/900
easpho,"Medium-sized flycatcher, smaller than a robin. Watch for it constantly dipping its tail down. Plumage is nondescript brownish above and pale below, with blurry vest. Often nests under eves of buildings and other structures. Spends winters in southeastern U.S. and eastern Mexico and returns north earlier than other flycatchers. Listen for its low-pitched, harsh ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65681481/900
eastow,"Large, striking, long-tailed sparrow of the eastern U.S. and Canada. Females are browner than jet-black males. White in the wing is limited to one small patch at the base of the primaries. Forages primarily by hopping along ground, scraping away leaf litter. Inhabits scrubby areas and forest edges with thickets. Males sing from atop shrubs and low trees. Visits feeders.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171452241/900
eawpew,"Drab grayish-brown flycatcher found in forested areas and edges. It is usually seen on a high perch, watching for prey and sallying out to snatch insects. After these short flights, it often (but not always) returns to the same perch. Nondescript plumage with whitish wingbars; base of the bill is usually orange but hard to see. Note the loud song that rings through eastern woodlands: ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65617351/900
eucdov,"Smoothly-colored grayish-brown dove. Body is uniformly chalky-beige with a black crescent on the nape. Smaller and paler than Rock Pigeon, with a proportionally longer, square-tipped tail. Favors farms and suburbs and avoids areas with extensive forests. Gives a cooing “Ooh-OOH-ouh.” Introduced from Eurasia to the Bahamas, from where it has spread rapidly across southern and western North America; escapees may also occur elsewhere.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66035091/900
eursta,"Stocky and dark overall. Short tail, triangular wings, and long, pointed bill. Close look reveals beautiful plumage. In breeding season, shows purple and green iridescence on body with yellow bill. In winter, bold white spots cover the entire body. Native to Eurasia; introduced in many regions worldwide, where it is now abundant. Often in large flocks. Makes variety of squeaky vocalizations, including proficient mimicry of other species. Inhabits a wide range of open habitats, often in very close proximity to people. Visits feeders, and is often aggressive.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67454961/900
evegro,"Large finch, nearly twice the size of a goldfinch. Stocky with strong, thick, pale bill and short, notched tail. Males are stunning with dark head fading to bright yellow underparts, and mostly black wings with bright white secondaries. Females are overall gray with some white on the wing. Flocks often come to feeders for sunflower seeds. Found in forested regions especially at higher elevations. Populations declining dramatically.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/120746601/900
fiespa,"Small sparrow can be either gray or buffy overall, but always note small pink bill, plain face, and thin white eyering. Inhabits overgrown fields and other brushy areas. Song is a series of bell-like notes, accelerating like a dropped ping-pong ball. Often joins flocks of sparrows in winter. Can visit feeders, but less frequently than Chipping or American Tree Sparrows.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64972791/900
fiscro,"Entirely black. Slightly smaller than American Crow with shorter bill and more blue tones in their iridescence. Very difficult to separate visually. Range restricted, primarily to southeast U.S. Favors coastal habitats. Best distinguished from American Crow by voice, a nasal ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70580031/900
foxspa,"Large, dark sparrow with extensive geographic variation. Chunkier than Song Sparrow, and generally darker with thicker streaking. Four groups of subspecies: Red (only subspecies found in eastern U.S., but breeds to Alaska), Slate-colored (Rockies), Sooty (Pacific Northwest), Thick-billed (California). Forages mainly on the ground in search of seeds. Visits feeders.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66115301/900
gadwal,"Same size as Mallard but with a thinner bill. Males appear gray overall with a small white patch on wing; larger, puffier head than Mallard. Females similar to Mallard; note thinner bill, white wing patch (sometimes visible) and orange line along the edge of the bill. Dabbles on the surface of the water and up-ends to reach aquatic vegetation.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65533461/900
gcrfin,"The most widespread rosy-finch. Body is the color of milk chocolate. Look for pink highlights in the wings, tail and belly. Several different populations; some have gray wrapping around the back of the head only above the eye, others have entirely gray cheek. Breeds at the highest elevations; descends to lower elevations in winter. Often in mixed flocks in winter with other rosy-finches. Feeds on seeds and insects. Look for them foraging on alpine snowfields. Visits feeders, primarily in winter.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67356541/900
gnttow,"Large sparrow with unique color pattern: gray body, fairly bright greenish wings and tail, rufous crown, and white throat. Forages on the ground or in dense shrubs primarily for seeds and insects. Favors disturbed areas in montane forest and open slopes for breeding. In winter, they join mixed species flocks in dense mesquite areas of desert washes. Rarely visits feeders. Nasal call note is unique.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64990931/900
gnwtea,"Tiny duck with a petite, thin bill. Males have a brown head with a wide green swatch behind the eye, creamy speckled breast, and mostly gray body. Females are brown, darker overall than other dabbling ducks. Forages by dabbling and tipping-up to reach submerged aquatic vegetation. Also regularly walks around mudflats to feed.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63893401/900
gockin,"Black stripes on head separate them from similar drab, olive species. Call notes almost too high-pitched to hear, ring from tops of spruces during the breeding season. At other times of the year, these tiny songbirds join mixed flocks. Smaller in size and shorter, thinner billed than warblers. Very active as it forages for insects; almost constantly moving.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/161342541/900
gocspa,"Large, long-tailed sparrow. Often looks scruffy and not as crisp as White-crowned Sparrow. Look for dark stripes bordering yellow crown. Forages on the ground and in low vegetation for seeds and insects. Often in flocks with White-crowned Sparrow. Frequents forest edges, backyards, and scrubby areas in winter and migration. Breeds in low, shrubby areas of tundra or at edges of boreal forest. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64978511/900
goleag,"Uncommon raptor across much of the Northern Hemisphere. Hunts mainly mammals in remote, open country from grasslands to steppes and mountainous areas. Mostly dark brown. Immatures have white patch on underwing and white tail base. Lacks white mottling on belly. Often holds wings in slight V-shape when soaring.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60322141/900
grbher3,"Large and lanky with extremely long neck and long legs. Gray-blue overall with dagger-like bill. White form of south Florida and Caribbean is similar to Great Egret, but with heavier, thicker bill. White and blue form hybrids in south Florida have gray bodies and white heads. Forages in shallow wetlands, waiting for prey and stalking fish.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60314201/900
grcfly,"Fairly large flycatcher; about the same size as a robin but more slender. Favors mature forests, where it nests in cavities. Brightly colored for a flycatcher, with yellow belly and rufous in the wings and tail. Quite vocal, giving loud, rising ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/170864441/900
greegr,"Large, pure white heron with daggerlike yellow bill. Long black legs. Note angled kink in the middle of the neck. Forages in shallow wetlands by slowly stalking prey. Often nests in large and noisy colonies, frequently mixed in with other species. Largest and most widespread white heron.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70610211/900
greroa,"Streaky brown overall with very long tail and slight crest. Distinctive long shape and terrestrial behavior. Usually seen on the ground, where it runs swiftly after large insects, lizards, and other prey. Also found in thick vegetation of arid habitats, and on elevated perches such as fence posts.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60388671/900
greyel,"Medium-large shorebird with bright yellow legs. Plumage is essentially identical to Lesser Yellowlegs; gray upperparts with white speckling, and white belly. Proportions are more important for separating two species; bill longer than the head and slightly upturned. Larger overall size than Lesser Yellowlegs with longer neck, blockier head, and bigger chest. Forages actively on mudflats and shallow water areas, taking long strides and reaching down to snatch invertebrates. See also: Lesser Yellowlegs.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64836521/900
grhowl,"Large and widespread owl with distinctive ear tufts. Found in a variety of habitats from dense woods to prairie and deserts with at least some trees. Also, found in wooded towns and suburbs. Typically well-camouflaged dark brown overall, but varies in color. Often engages in haunting duets, with males and females hooting back and forth. Preys upon a variety of animals, including mammals, birds and reptiles.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63741611/900
grnher,"Small, dark heron with a blue-green back, rusty-colored neck and dark cap. Usually in a crouched position, partly concealed in vegetation, waiting patiently for prey. In flight, looks like an awkward crow with broad wings, neck tucked in, and legs extending just beyond the tail. Often vocal when flushed; gives a sharp ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70691741/900
grtgra,"Large, lanky blackbird with flat crown and long tail. Males have ridiculously long tails, almost as long as their body, often held in a V-shape. Males are glossy black. Females are brown with paler eyebrow and throat. Eyes yellow to white; dusky for immatures. In coastal Texas, where its range overlaps with Boat-tailed Grackle, note habitat (more generalized as opposed to strictly saltmarsh) and pale eye (not brown).

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67363301/900
grycat,"Medium-sized songbird, smaller than a robin, with a smooth gray body, black cap, and rusty-red undertail. Sometimes mimics other species in complex, jumbled song. Prefers dense shrubs and small trees in forest edges, streamside thickets, and old fields. Occasionally feeds on suet.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/62999411/900
gryfly,"Drab, pale-gray flycatcher with little plumage contrast; very similar to other flycatchers, especially Dusky and Hammond's. Often best identified by unique habit of wagging tail downward. Breeding habitat also distinctive: lower, more open habitat than other flycatchers, usually in sagebrush or open juniper forest. In migration and winter, habitat overlaps more with other flycatchers, but still tends to prefer more open areas. Other subtle differences in appearance include shorter wingtips, longer bill, and paler plumage. Song includes hoarse ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70199711/900
haiwoo,"Widespread and familiar woodland resident and backyard visitor. Its black-and-white plumage is nearly identical to the smaller Downy Woodpecker, but note longer bill (about the length of the head) and clean white outer tail feathers. Readily visits feeders, especially suet. Nests in cavities.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68929201/900
hamfly,"Small grayish flycatcher, very similar to other flycatchers, especially Dusky and Gray. Subtle differences include smaller bill with limited pale base, slightly more peaked crown, and longer wingtips. Also note habitat during breeding season: Hammond's prefers mature conifers, often seen higher up in trees than Dusky. Habitat overlaps more with other flycatchers during migration and winter; found in a variety of brushy wooded habitats. Back is greenish with a yellow wash to belly; fall birds in fresh plumage are brighter than spring and summer birds. Voice is key to identification, especially call notes: high-pitched ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70628391/900
hergul,"Widespread and often common inland and on the coast. Adults have gray back with black wingtips. Takes four years for immatures to progress from mostly brown to white and gray; intermediate plumages are often mottled and messy. Varies incrementally across a wide geographic range. Scavenges shorelines, mudflats, plowed fields, and open ocean, picking up scraps wherever it can. Often congregates in large groups with other gulls, especially around fishing boats, beaches, piers, and landfills. Far-carrying yelping screams are a common sound of waterside habitats around the world. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/71319301/900
herthr,Medium brown above with contrasting reddish tail. Dark spots on breast do not continue all the way down belly like Wood Thrush. Found in wooded areas; often hops on the ground or skulks in dense patches of shrubbery. Winters further north than other thrushes; many stay in the U.S. Listen for its beautiful song that is higher pitched than other thrushes with a steady introductory note; also gives low ,https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67459811/900
hoomer,"Small duck; feeds by diving to catch mainly fish with thin, serrated bill. Breeding males have showy black and white crest, a couple zebra stripes on their white breast, and chestnut sides. Females and immature males are brown overall with a puffy crest and a thin orange stripe along the bottom of the bill. Nests in cavities. Usually found on calm bodies of water including ponds, rivers, and lakes; rarely on ocean. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63910041/900
hoowar,"Rather small, yellow warbler that habitually flashes its white outer tail feathers. Males have distinctive black hood with yellow face; females duller with only a shadow of hood (some lack it completely). Most similar to Wilson's Warbler; always look for white in the tail on Hooded. Generally a bird of the understory in mature forest, often around patches of rhododendron. Song similar to Magnolia Warbler but stronger; ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64456461/900
horgre,"Compact body with thin bill. Breeding adults have long yellow tuft behind red eye, black cheek, and rusty body. In winter, they are gray overall with a black cap and contrasting white cheek. Red eye visible at close range. Breeds on marshy ponds; often seen on large lakes and open ocean, far away from the shoreline and away from vegetation during winter and migration.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65055691/900
horlar,"Runs along ground in open areas, often barren ground with little to no vegetation. Sand, dirt, gravel flats are home, unlike preferences of most songbirds. Appears squatty with short legs and low profile body. Unique black and yellow markings on head. Short black horns occasionally visible. Plain brown above, whitish below. Often in flocks, sometimes with pipits or longspurs.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68927561/900
houfin,"Frequents suburban settings across North America, along with open woods, brushy field edges, and deserts. Males vary in shades and intensity of red. Some males are yellow or orange. Females are drab gray-brown overall with plain faces and blurry streaks on underparts. Similar to Purple and Cassin's Finch, but House Finch males are more orangey-red with color equally bright on crown, throat, and breast. Red color is mostly restricted to head and upper chest, contrasting with cold gray-brown nape, back, and wings. Pale sides show distinct brown streaks, lacking red tones. Females lack bold face pattern and have more diffuse patterning overall. Often sings loudly in neighborhoods and visits feeders.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63736771/900
houspa,"Widespread and abundant in cities, neighborhoods and farms. Avoids dense woods. Flocks cluster in dense bushes, bustling around and chattering to one another. Males have smart black bibs, bright rufous napes, and stunningly patterned wings with brilliant buffs and browns. Underparts are pale pearly-gray. Females are plain brown with cute face and lighter eyebrow. Native to Eurasia; introduced to much of the rest of the world.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63742431/900
houwre,"At home in suburbs, parks, rural farmland, and other open areas with thick tangles. In the breeding season, it is often singing its effervescent song from the top of a bush or fence post. Plumage doesn't show much contrast: plain brown overall, slightly paler below, with some dark barring on the wings and tail. Lacks white eyebrow. In winter they are more secretive, preferring brushy tangles, thickets, and hedgerows.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59860711/900
indbun,"Breeding males are entirely blue; can look dark from a distance. Females are plain buffy brown with whitish throat, bluish tail, and faint streaks on the underparts. Inhabits the edges of forests and fields. Listen for loud song, paired or tripled notes, delivered from the top of the tallest tree in the area. Occasionally visits feeders. Winters in Central America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67385731/900
juntit1,"Possibly the plainest bird in North America—medium gray overall with no patterning. Despite dull plumage it is undeniably cute with a large eye and plain face. Crest is distinctive. Aptly named, they are found in dry juniper woodlands (and occasionally seen away from junipers). Visits bird feeders in the correct habitat.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68044081/900
killde,"Widespread shorebird, often nests near human development and far from water: parking lots, school roofs, road edges and other spots with bare gravel. Two black bands across breast set it apart from other plovers. Vocalizes frequently, giving loud, whinnying ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64809651/900
labwoo,"Very small woodpecker of arid habitats, including mesquite scrub and dry woodlands. Black-and-white barring on the back, patterned flanks, and buffy wash below. Males have a red cap. Sometimes visits feeders. Most similar to Nuttall's Woodpecker, but range barely overlaps. Slightly larger than Downy Woodpecker. Nests in cavities.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65054631/900
larspa,"Large and boldly patterned sparrow. Look for unique black, white, and rufous face pattern, brighter on adults and duller on immatures. Favors open areas with scattered trees when breeding; often forms flocks in brushy areas in winter. Usually feeds on the ground and flies up into trees when disturbed. In flight, notice long tail with broad white corners.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64973941/900
lazbun,"Breeding males are bright blue above with bold white wingbars, white belly, and orange breast. Sing from tops of shrubs during the breeding season. Females are plain buffy brown with faint wingbars and slightly brighter breast. Never shows faint streaks below like female Indigo Bunting often does; throat not as contrastingly white. Found in shrubby, sometimes arid habitats, favoring bushy hillsides and slopes. Occasionally visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67386591/900
leabit,"This diminutive heron is fairly common in its preferred wetland habitat, but secretive and easily overlooked. Found in marshes with a mix of open water and vegetation, often with cattails, phragmites, or lily pads. Usually seen perched motionless, straddling reeds at the edge of water or on a short dash flying just above the reeds. Its soft song, ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/39512491/900
leafly,"Small, olive flycatcher. Grayish-olive above with paler belly. Shows two prominent whitish wingbars. White eyering is usually bold and slightly wider behind the eye. Most easily identified by voice: a loud ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65617791/900
leasan,Smallest shorebird; sparrow-sized but with longer wings. Falls into category called ,https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64822761/900
lecthr,"The palest thrasher; entirely light tan with whiter throat. Undertail coverts peach colored. Bill dark and strongly curved; eye dark. Found in dry flat deserts with open ground, often seen running between patches of low bushes. Shy and difficult to see well. Song similar to other thrashers, often with doubled or tripled notes; tends to be rather slow.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171271101/900
lesgol,"Tiny yellowish finch. Blackish conical bill is stout, but sharply pointed. Long wings are black with one white wingbar and large white patch at the base of the primaries. Small head. Short notched tail. Adult males have either green or black (Texas to South America) back. Regularly visits feeders. Females similar to American Goldfinch; note bill shape and color, usually more yellowish undertail coverts, less distinct wingbars, and more obvious white patch at base of primaries.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67272481/900
lesnig,"Long-winged nocturnal bird which catches insects in flight often around dawn and dusk. Found in shrubby open areas. Intricate brown, buffy, and gray patterning with white patches near wingtips. Very similar to Common Nighthawk, best distinguished by the position of white wing patch: closer to wingtip on Lesser, closer to base of wing on Common, but this difference can be very difficult to judge. Also typically paler than Common with more golden buffy tones. During the day, roosts on the ground or on a tree branch. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/71378621/900
lesyel,"Medium-sized shorebird with bright yellow legs. Plumage is essentially identical to Greater Yellowlegs; gray upperparts with white speckling, and white belly. Proportions are more important: bill only slightly longer than the head and straight; smaller overall than Greater Yellowlegs with shorter neck, rounded head, and cuter appearance. See also: Greater Yellowlegs.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64838631/900
lewwoo,"A social woodpecker with unique color pattern: dark glossy-green back, red face, gray collar, and pink wash on belly. Looks dark at a distance and sometimes crowlike. Sexes alike; juveniles much duller and browner than adults. Found in open woodland, sometimes close to human settlements; uses telephone poles to stash acorns. Usually seen in small family groups. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/37166641/900
linspa,"Slightly smaller than Song Sparrow, with finer streaking on breast. Also note thin pale eyering, bright buffy breast that contrasts with white belly, and often peaked crown. Prefers thickets and shrubby areas. Beware of juvenile Song Sparrows in late summer, which can look buffy and show finer streaks than adults. Infrequently visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64984571/900
lobcur,"Huge shorebird with incredibly long, downturned bill used to probe into mud and snag invertebrates. Buffy overall with brighter cinnamon wings. Found on beaches and open fields, solo or in flocks. Exceptional bill length and shape rules out other large shorebirds (Marbled Godwit, Willet and Whimbrel). Lacks dark stripes on head prominent on Whimbrel.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64810681/900
lobdow,"Plump, long-billed shorebird. Breeding adults have salmon-orange underparts with thin black and white bars on neck and sides. Very similar to Short-billed Dowitcher. Upperparts are darker than Short-billed Dowitcher; feathers have darker rufous markings and narrower white tips. Nonbreeding adult plain gray; plumage nearly identical to Short-billed. Juvenile plain brownish-gray, generally duller than Short-billed; upper wing feathers edged with rufous, lacking bright golden markings. Best separated from Short-billed Dowitcher by voice: a sharp ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/164865521/900
logshr,"Gray-bodied, black-masked bandit of open areas, both rural and suburban. Power lines and tops of bushes offer the perfect perches for shrikes to spot their prey. Carnivorous habits make shrikes unique among passerines. In flight, watch for white patches in the wings. Feeds on large insects, rodents and small birds. About the size of a robin.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65685251/900
lotduc,"Diving duck that favors saltwater in winter and Arctic tundra pools in summer. Males are distinctive with black, white, gray, and brown patterns and long pointed tail. Male plumage changes dramatically from winter to summer. Females and immature males are brownish overall with whiter face and large dark cheek patch. Dives frequently to feed mainly on invertebrates.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63902961/900
louwat,"Brown-and-white denizen of bubbling streams and brooks. Stays on the ground or in low vegetation, constantly bobbing its rear end up and down. During the breeding season, favors steeper ravines with hemlocks and fast-moving water with lots of rocks to hop on. Much like Northern Waterthrush, but whiter base color below, brighter pink legs, and broader white eyebrow. Distinctly different song: several piercing clear whistles followed by a complex jumble of notes. Call is a loud, metallic chip.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63000191/900
macwar,"Chunky, skulking warbler that favors dense undergrowth. Yellow with blue-gray head and chest. Blacker lores set off distinctive white arcs above and below eye. Olive-green above and yellow belly. Bright pink legs. Adult males show most contrasting plumage. Females and immatures duller but with same pattern. Found in thickets, clearcuts, clearings in mixed forests, and riparian zones. Similar to Mourning Warbler, but little range overlap during breeding season and migraton, and note longer tail and white eye-arcs.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64453201/900
magwar,"Breeding males are striking with black mask, white eyebrow, gray crown, white wing patch, and yellow throat and breast with necklace of black streaks. In fall, their color pattern is more diffuse gray and yellow. Always look for tail pattern from below: basal half is white, tip is black. Forages for insects in forested areas. Travels in flocks with other warblers and songbirds in migration and winter. Winters in Central America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64798651/900
mallar3,"The quintessential duck within most of its range, found anywhere with water, including city parks, backyard creeks, and various wetland habitats. Males have a green head, chestnut breast, and gray body. Females are mottled brown with orange and black splotches on the bill. White wingbars on the front and trailing sides of the blue wing patch are bolder compared to those on American Black Duck and Mottled Duck.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60021841/900
marwre,"Habitat is the best clue for identifying this wren; rarely strays from cattail marshes and rushes for breeding. Migrants occasionally move into wet fields. Often difficult to see well as it skulks through grasses. Its plumage is rather bright rufous with darker brown cap, contrasting whitish eyebrow and throat, and black-and-white stripes on back. Overall darker and more contrasting than similar Sedge Wren.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68035321/900
